session_id,entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,auth_success,label,anomaly_type
6b37e6ee,user_0118,user,2026-06-01 00:47:10.000000,39.245.137.134,RU/Moscow,customer_records,token,143.10392018636276,"[""escalate_privilege"", ""create_user"", ""read_config""]","{""os"": ""Windows11"", ""mac"": ""78:40:fb:34:06:91""}",True,anomaly,lateral_movement
55b7bb07,user_0118,user,2026-06-01 00:49:10.000000,52.148.252.168,RU/Moscow,network_switch_cfg,token,157.2901479779731,"[""read_config"", ""delete_user"", ""escalate_privilege""]","{""os"": ""Windows11"", ""mac"": ""78:40:fb:34:06:91""}",True,anomaly,lateral_movement
9a0eebac,user_0118,user,2026-06-01 00:51:10.000000,15.45.160.229,RU/Moscow,backup_service,token,214.87775416079552,"[""list_dir"", ""read_config"", ""read_file""]","{""os"": ""Windows11"", ""mac"": ""78:40:fb:34:06:91""}",True,anomaly,lateral_movement
8d44abb2,user_0118,user,2026-06-01 00:53:10.000000,117.228.167.38,RU/Moscow,plc_endpoint,token,91.55409354876457,"[""escalate_privilege"", ""write_config"", ""read_file""]","{""os"": ""Windows11"", ""mac"": ""78:40:fb:34:06:91""}",True,anomaly,lateral_movement
e4781fa7,user_0060,user,2026-06-01 05:56:58.000000,181.101.140.95,US/Chicago,email_server,token,687.0785925589483,"[""list_dir"", ""login"", ""download""]","{""os"": ""Ubuntu22.04"", ""mac"": ""de:7f:88:51:37:c3""}",True,normal,none
c051eebe,user_0027,user,2026-06-01 06:05:15.000000,169.78.216.203,DE/Berlin,dns_service,password,895.720372066615,"[""list_dir""]","{""os"": ""Windows11"", ""mac"": ""96:7e:73:20:ad:0a""}",True,normal,none
69f4767d,dev_0029,edge_device,2026-06-01 06:06:06.000000,65.250.254.60,CN/Shanghai,admin_console,biometric,1568.0343544412376,"[""login""]","{""os"": ""Ubuntu22.04"", ""mac"": ""94:87:3f:e8:bc:86""}",True,normal,none
703b798c,user_0041,user,2026-06-01 06:13:25.000000,53.179.106.8,RU/Moscow,crm_api,password,962.3043691554823,"[""login"", ""read_file""]","{""os"": ""Windows11"", ""mac"": ""94:1d:1f:a0:1d:19""}",True,normal,none
c550cc79,user_0041,user,2026-06-01 06:23:25.000000,62.201.234.145,DE/Berlin,crm_api,password,962.3043691554823,"[""login"", ""read_file""]","{""os"": ""Windows11"", ""mac"": ""94:1d:1f:a0:1d:19""}",True,anomaly,impossible_travel
5dee0abf,user_0040,user,2026-06-01 06:26:07.000000,157.28.158.171,US/Chicago,hr_portal,certificate,981.3132098092842,"[""login""]","{""os"": ""IoT-Linux-5.10"", ""mac"": ""f6:f9:4f:61:97:6f""}",True,normal,none
6ef3757a,user_0027,user,2026-06-01 06:27:42.000000,91.85.22.145,DE/Berlin,billing_db,password,720.6438141095363,"[""upload"", ""list_dir"", ""write_file""]","{""os"": ""Windows11"", ""mac"": ""96:7e:73:20:ad:0a""}",True,normal,none
ce9f5ba7,svc_0007,service_account,2026-06-01 06:35:19.000000,197.228.147.161,DE/Berlin,file_server_1,password,1125.7437556614525,"[""read_file""]","{""os"": ""macOS14"", ""mac"": ""c8:90:e8:24:77:87""}",True,normal,none
a3a4e1e6,dev_0003,edge_device,2026-06-01 06:42:09.000000,164.0.19.171,US/San Francisco,email_server,certificate,670.6865653346008,"[""read_file"", ""write_file""]","{""os"": ""IoT-Linux-5.10"", ""mac"": ""92:c1:e9:a4:60:7a""}",True,normal,none
9cd2bd35,user_0107,user,2026-06-01 06:43:31.000000,88.215.159.202,CN/Shanghai,vpn_gateway,password,1469.395815225303,"[""list_dir"", ""login""]","{""os"": ""macOS14"", ""mac"": ""cc:a6:5d:f9:6c:b5""}",True,normal,none
231d3fdd,user_0040,user,2026-06-01 06:43:34.000000,40.142.42.80,US/Chicago,hr_portal,certificate,858.9607370306737,"[""read_file"", ""upload"", ""write_file""]","{""os"": ""IoT-Linux-5.10"", ""mac"": ""f6:f9:4f:61:97:6f""}",True,normal,none
cf6f1921,user_0081,user,2026-06-01 06:45:06.000000,198.3.33.54,US/Chicago,hr_portal,certificate,1463.6368030388332,"[""list_dir"", ""login"", ""read_file""]","{""os"": ""IoT-Linux-5.10"", ""mac"": ""d6:51:f3:e6:84:7e""}",True,normal,none
28f4c53a,user_0100,user,2026-06-01 06:47:09.000000,207.4.90.108,GB/London,file_server_1,password,1161.8181355145691,"[""upload""]","{""os"": ""Ubuntu22.04"", ""mac"": ""d8:65:26:7c:34:9a""}",True,normal,none
b8bde83e,user_0011,user,2026-06-01 06:47:30.000000,117.191.212.180,US/Chicago,dns_service,token,1173.421082187188,"[""download"", ""read_file""]","{""os"": ""IoT-Linux-5.10"", ""mac"": ""d6:ec:c2:8a:70:a6""}",True,normal,none
04bacdc4,dev_0032,edge_device,2026-06-01 06:48:40.000000,98.49.219.89,US/Chicago,crm_api,certificate,1342.7178041959753,"[""write_file"", ""login""]","{""os"": ""Windows11"", ""mac"": ""4c:d1:3b:47:17:13""}",True,normal,none
67225537,dev_0025,edge_device,2026-06-01 06:52:42.000000,152.30.240.31,IN/Bengaluru,backup_service,password,641.7919263524279,"[""login""]","{""os"": ""IoT-Linux-5.10"", ""mac"": ""86:d4:59:66:43:bb""}",True,normal,none
